LP,TradeQuantityUSD,NumEvents,MarkoutType,-10s,-5s,-4s,-3s,-2s,-1s,-500ms,-250ms,-100ms,0,50ms,100ms,250ms,500ms,1s,2s,3s,4s,5s,10s,15s,20s,30s,45s,1m,2m,3m,4m,5m,10m
LP5,1085699401.0,1159,MarkoutsAtZero,-17.3621487757543,-5.047412306711867,-3.6920526728802567,-2.000614982406871,-2.2151194667254774,1.0289947441343474,0.7024003695238837,1.255366771505836,0.0038523620660098575,0.0,-0.20021917259416952,-1.2029072207835985,-2.1193580340815155,0.6072128848719749,2.4380556395925064,5.11394196489172,5.071443899197073,6.436113140467712,8.17430244914517,5.576824496657559,8.555768646735526,9.467196354528093,7.246939497203808,6.117883887449635,-3.3165906014924404,-15.67893586746966,-4.488486695150307,-15.610221442738233,-31.57697970676208,-15.637989011034309
LP6,658743399.5,934,MarkoutsAtZero,-16.266821331116077,-6.158426300955056,-4.752002028732229,-4.749957509660639,-2.743963439480982,-1.872618672421948,-0.2766391953487306,-0.5157793454614156,-1.0449044690112959,0.0,0.3918477274398076,1.2611310081701008,5.387929114206417,9.500373309480235,11.763771500004527,15.21429125194322,15.942835636825269,18.118765542405903,18.200119008049047,22.436112381545634,27.742476323573833,25.57380363979911,26.136945203834106,25.738916028128752,14.996631614453321,10.682083255371152,9.077541615395644,15.87172520050877,-2.6983471190403328,-18.33442256815249
LP1,286936201.0,343,MarkoutsAtZeroAverage,-26.341684163353616,-14.423759297959343,-12.469133645438951,-11.742495248036013,-9.279608663567105,-6.333799226846603,-5.13796792162418,-2.6918062320505896,-1.6796412217758472,0.0,0.6344637139575837,1.794429009760715,7.847824220355804,14.789769128258966,17.855458489104688,20.044079522310746,18.26832220562639,19.00897075235668,21.338309834801965,34.429828944285795,42.36389497104276,42.53587136696563,38.46460725624702,34.04106068638308,25.932635399286607,22.052412311543478,20.987593797314368,5.267850739362907,0.06911491161215194,-31.243827929047512
LP2,321161960.0,564,MarkoutsAtZeroAverage,-9.22378026116211,-2.655032350952637,-2.17172477015404,-2.919865294209576,-3.7849552697870097,-4.226926919828131,-5.162574637376735,-3.93177426443484,-3.1350060130392117,0.0,1.4664309597147296,2.345978520265733,9.174736305929045,14.150912176977577,15.386671886859798,16.49335012676723,19.22518336938093,22.346415617844436,22.65200646266401,24.99879605693734,26.56949954541028,28.483458610806096,30.970422715613257,25.362261168572,27.89341066187948,22.128991699293117,27.95280859604701,17.913724489691656,0.289091217207789,-17.621137275030353
LP3,565515848.5,719,MarkoutsAtZeroAverage,8.752148860265391,8.61490472838498,10.036798172260099,8.239085424487273,8.721987079922254,3.764837327440792,1.0725128166001558,0.5610313682539886,0.508502635996546,0.0,0.109827242741113,-0.05806377930617446,1.5026710067804319,4.060676788744099,4.373947021846923,4.225233821142818,2.92691537422958,2.7324766563081857,1.8068103681787173,1.1332403901321744,4.7423158603891595,7.447943789651686,9.256088492872186,3.8864864159727177,2.426719163381422,7.483898253866421,-1.0782379644623579,-10.838955530543924,-12.15449875438986,12.884331290859588
LP4,432112378.5,623,MarkoutsAtZeroAverage,-2.846326202384252,-1.4209707381698593,-0.9587965087424857,-0.029562399997909376,-1.8014418383249335,-4.401209191979825,-3.6997585747958524,-3.082491122254045,-0.8651885652963099,0.0,0.5739778894973634,1.0674464358068556,3.3083159957764283,6.6554301136376415,8.84067539798007,11.873941755663235,11.586234278357306,10.56771994217234,11.62057766355614,15.98023944636729,19.81257521350203,25.11918546358551,29.615654766029103,33.43492294151715,34.39372353328568,36.49730570472984,36.246779850610324,33.07061820872687,36.3809984638758,25.454345634945245
LP5,1085699401.0,1159,MarkoutsAtZeroAverage,-8.590896733883973,-1.196102491461318,-1.1096476558792179,-0.09083870657327041,0.18592087660675033,2.6808233547594935,1.3190488160684433,1.3194289095684018,-0.004553410032881738,0.0,-0.22069274938332403,-0.3566042652149764,-0.7186028897405486,1.7325721752480299,3.694428412327248,3.959210431720251,4.2541573558775925,4.629206369720449,6.024611731073069,3.4420584492168347,6.444631021326114,6.677131491387178,7.9441612609311925,8.77990726212525,3.0549484813799417,-6.969432860146627,-6.219147566629375,-14.984146693000362,-22.34505779844954,-6.353052017422268
LP6,658743399.5,934,MarkoutsAtZeroAverage,-9.600689241032601,-4.305172685448688,-3.76200250883522,-4.168260326096598,-2.9791612054421943,-2.844391156254249,-1.6395065621983103,-1.6345780646769619,-1.1385791740403755,0.0,0.5360360484702457,1.3553607177124738,4.702650106906701,7.93215713274869,10.050285407699699,12.095447102587263,13.520909408543265,15.260436643304361,15.507326146566708,19.362190979906334,24.654851700722315,25.144918290983135,25.628351792210527,23.564167184377045,16.786416807384132,15.583809657103984,14.811254530229881,18.754536903447192,2.501199434207771,-14.394964629238505
LP1,286936201.0,343,Volatilities,6.968914002995771,4.954375497800217,4.424858173135395,3.5070824621647345,2.7052518092089244,1.851386444565485,1.391946616755449,1.005221998857799,0.6469435177803163,0.0,0.4646029544293038,0.7146685591737357,1.7061966540866598,2.1905681577686495,2.8066893109695,3.6098306574423993,3.9390233699668786,4.870669023919509,5.453866007331416,9.742502843649115,10.59205980908662,11.097302749778054,10.175927564921455,9.657459530074938,10.898805576933519,13.50577851953058,16.16622519474085,18.126567398651456,21.047416721999763,28.215174379566463
LP2,321161960.0,564,Volatilities,5.676783819003784,4.153527120645443,3.8706422734144375,3.1302763946645142,2.422237689441675,1.8771407168130458,1.3518243955526699,0.9016505992952258,0.7556249117673126,0.0,0.46859825204804756,0.6007412660289018,1.1857529782229252,1.6556897919696922,1.8475079800824266,2.0483211307294065,2.3163020118895026,2.738981425749088,3.0668366040097212,4.113285342927287,4.8990555308592825,5.73346361806675,5.662794778262204,6.655795181508394,7.481464955158257,9.703061785930915,11.955162525544003,14.256045984752355,16.30382409897114,21.28982677503018
LP3,565515848.5,719,Volatilities,5.926521526423517,4.355650254971851,3.942311737696191,3.230913722178376,2.5321973603498997,1.7170108534514226,1.1349570505928122,0.7720050434220161,0.512760222343944,0.0,0.49024925094140914,0.6989118889559965,1.135195610471966,1.5341613906193148,1.93958942880016,2.723953074600425,3.4309525722422496,4.007487117350439,4.364633529751692,4.843709378571882,6.198894213384605,5.860283855251816,5.481957659437685,6.660681925424868,8.289936294443935,11.447512365015818,13.135565110877502,13.978266165650387,17.030371282225545,19.244559068032196
LP4,432112378.5,623,Volatilities,3.897806456633279,3.0876919431486822,2.905472032034233,2.6087472252233157,2.106966012491401,1.6284033067713837,1.2812264870393852,0.9119246623736235,0.5378060442032999,0.0,0.36867866928021625,0.6932433330834095,1.2681838807092325,1.7835480969253068,1.983211528472879,2.2025161658870784,2.21459752579375,2.4413664105839614,2.6341297806066413,3.7825198618914206,4.546044291392262,5.075562612641093,5.384350118052642,6.701975679348009,6.961093599273857,9.253508410546452,11.183432295733489,13.770172836001134,14.590722729618303,19.50001801135133
LP5,1085699401.0,1159,Volatilities,3.652515061317519,2.8072028913690197,2.586042318439651,2.3528439468029183,2.0817112969120584,1.7508385493992054,1.5915435159678768,1.2637668739262526,0.3174988549628887,0.0,0.30172525958021246,0.4400992043969339,0.6785722164436268,1.0228766515489032,1.2676824855601727,1.4992161572616298,1.71121079726124,2.34244968786907,2.2666570294737114,3.2997138043100094,3.6267292500680774,3.9747856827957033,4.705075617910286,5.197252662421416,5.852836499622919,7.9454918684785065,9.490410658195845,11.048193248843063,12.062318538678744,14.9506912050877
LP6,658743399.5,934,Volatilities,3.7188086241659124,2.708913021142207,2.462927409886378,2.135279941172999,1.9075528655431846,1.5175621935389623,1.1982031717874688,0.8127977385076991,0.5224744190535334,0.0,0.37266241102059616,0.5857960721451029,0.894265446921681,1.1784053705738593,1.3871926214906254,1.7729369551257266,2.1366392075819367,2.2208410433117023,2.242462030209405,3.234600289095002,3.6460026871764177,3.9039785763635915,4.428057442159772,5.537246147236281,5.897005579517037,7.5109863814878715,9.307555418365505,11.189171471234449,12.184482646804625,16.732799553418417
