Time,Mid,LimitPrice,IsActive,SlippageToArrivalMidPM,SlippageToArrivalMidPMUser,SlippageToArrivalMidPMBank,TradeQuantityRemainUSD
2018-09-21 17:10:15,1.174515,,Active,67.32185552337643,0.0,67.32185552337643,
2018-09-21 17:10:16,1.174515,,Active,67.32185552337643,0.0,67.32185552337643,
2018-09-21 17:10:18,1.174485,,Active,51.175084656610466,0.0,51.175084656610466,
2018-09-21 17:10:23,1.17449,,Active,53.86621313442471,0.0,53.86621313442471,
2018-09-21 17:10:24,1.1744750000000002,,Active,45.79282770110148,0.0,45.79282770110148,
2018-09-21 17:10:25,1.1744750000000002,,Active,45.79282770110148,0.0,45.79282770110148,
2018-09-21 17:10:30,1.1744599999999998,,Active,37.719442267539236,0.0,37.719442267539236,
2018-09-21 17:10:37,1.174465,,Active,40.410570745472995,0.0,40.410570745472995,
2018-09-21 17:10:40,1.1744599999999998,,Active,37.719442267539236,0.0,37.719442267539236,
2018-09-21 17:10:41,1.1744249999999998,,Active,18.881542922959024,0.0,18.881542922959024,
2018-09-21 17:10:52,1.174445,,Active,29.646056834216004,0.0,29.646056834216004,
2018-09-21 17:10:54,1.174465,,Active,40.41057074547299,0.0,40.41057074547299,
2018-09-21 17:10:57,1.174445,,Active,29.646056834216004,0.0,29.646056834216004,
2018-09-21 17:10:58,1.174435,,Active,24.263799878587513,0.0,24.263799878587513,
2018-09-21 17:11:02,1.1744400000000002,,Active,26.95492835652127,0.0,26.95492835652127,
2018-09-21 17:11:05,1.1744249999999998,,Active,18.881542922959024,0.0,18.881542922959024,
2018-09-21 17:11:06,1.1744599999999998,,Active,37.71944226753923,0.0,37.71944226753923,
2018-09-21 17:11:13,1.174465,,Active,40.41057074547299,0.0,40.41057074547299,
2018-09-21 17:11:36,1.1744750000000002,,Active,45.79282770110148,0.0,45.79282770110148,
2018-09-21 17:11:37,1.17447,,Active,43.10169922316772,0.0,43.10169922316772,
2018-09-21 17:11:39,1.17447,,Active,43.10169922316772,0.0,43.10169922316772,
2018-09-21 17:11:42,1.1744249999999998,,Active,18.88154292295902,0.0,18.88154292295902,
2018-09-21 17:11:45,1.17442,,Active,16.190414445264285,0.0,16.190414445264285,
2018-09-21 17:11:59,1.1743999999999999,,Active,5.425900534007301,0.0,5.425900534007301,
2018-09-21 17:12:00,1.1743899999999998,,Active,0.04364357837880928,0.0,0.04364357837880928,
2018-09-21 17:12:02,1.1743999999999999,,Active,5.425900534007301,0.0,5.425900534007301,
2018-09-21 17:12:03,1.17436,,Active,-16.103127288267647,0.0,-16.103127288267647,
2018-09-21 17:12:21,1.17438,,Active,-5.338613377130175,0.0,-5.338613377130175,
2018-09-21 17:12:22,1.1743999999999999,,Active,5.425900534007297,0.0,5.425900534007297,
2018-09-21 17:12:24,1.17441,,Active,10.80815748963579,0.0,10.80815748963579,
2018-09-21 17:12:26,1.1743800000000002,,Active,-5.338613377010665,0.0,-5.338613377010665,
2018-09-21 17:12:38,1.17435,,Active,-21.48538424389614,0.0,-21.48538424389614,
2018-09-21 17:12:41,1.1743999999999999,,Active,5.425900534007295,0.0,5.425900534007295,
2018-09-21 17:12:44,1.17441,,Active,10.808157489635787,0.0,10.808157489635787,
2018-09-21 17:12:46,1.1743899999999998,,Active,0.04364357837880386,0.0,0.04364357837880386,
2018-09-21 17:12:49,1.174375,,Active,-8.029741854944422,0.0,-8.029741854944422,
2018-09-21 17:12:50,1.1743700000000001,,Active,-10.720870332639159,0.0,-10.720870332639159,
2018-09-21 17:12:51,1.1743800000000002,,Active,-5.338613377010667,0.0,-5.338613377010667,
2018-09-21 17:12:53,1.1743999999999999,,Active,5.425900534007295,0.0,5.425900534007295,
2018-09-21 17:12:56,1.17441,,Active,10.808157489635787,0.0,10.808157489635787,
2018-09-21 17:13:10,1.17445,,Active,32.337185312030236,0.0,32.337185312030236,
2018-09-21 17:13:21,1.174425,,Active,18.881542923078523,0.0,18.881542923078523,
2018-09-21 17:13:22,1.1744400000000002,,Active,26.954928356521258,0.0,26.954928356521258,
2018-09-21 17:13:23,1.17445,,Active,32.337185312030236,0.0,32.337185312030236,
2018-09-21 17:13:26,1.17442,,Active,16.190414445264278,0.0,16.190414445264278,
2018-09-21 17:13:27,1.17441,,Active,10.808157489635787,0.0,10.808157489635787,
2018-09-21 17:13:28,1.17442,,Active,16.190414445264278,0.0,16.190414445264278,
2018-09-21 17:13:41,1.17445,,Active,32.337185312030236,0.0,32.337185312030236,
2018-09-21 17:13:43,1.1744599999999998,,Active,37.71944226753922,0.0,37.71944226753922,
2018-09-21 17:13:44,1.17445,,Active,32.337185312030236,0.0,32.337185312030236,
2018-09-21 17:13:45,1.1744599999999998,,Active,37.71944226753922,0.0,37.71944226753922,
2018-09-21 17:13:53,1.17441,,Active,10.808157489635787,0.0,10.808157489635787,
2018-09-21 17:13:54,1.1744400000000002,,Active,26.954928356521258,0.0,26.954928356521258,
2018-09-21 17:13:55,1.174455,,Active,35.02831378984449,0.0,35.02831378984449,
2018-09-21 17:13:56,1.1744599999999998,,Active,37.71944226753922,0.0,37.71944226753922,
2018-09-21 17:14:54,1.17441,,Active,10.808157489635787,0.0,10.808157489635787,
2018-09-21 17:14:59,1.1744599999999998,,Active,37.71944226753922,0.0,37.71944226753922,
2018-09-21 17:15:32,1.17447,,Active,43.10169922316772,0.0,43.10169922316772,
